id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
331871.0,2021-01-01,sexta-feira,16:15:00,MG,381.0,"6,8",BETIM,Condutor Dormindo,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Sim,3,0,1,1,1,0,2,2,"-19,96825","-44,198708",SPRF-MG,DEL01-MG,UOP03-DEL01-MG
331957.0,2021-01-02,sábado,06:15:00,MG,381.0,"601,7",CARMOPOLIS DE MINAS,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Ignorado,Dupla,Não Informado,Não,1,0,1,0,0,0,1,1,"-20,63243704","-44,73521221",SPRF-MG,DEL04-MG,UOP01-DEL04-MG
331990.0,2021-01-02,sábado,09:41:00,MG,381.0,"531,5",ITATIAIUCU,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,1,1,0,0,0,1,1,"-20,18182886","-44,37895835",SPRF-MG,DEL04-MG,UOP03-DEL04-MG
331999.0,2021-01-02,sábado,11:15:00,MG,381.0,484,BETIM,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,5,0,2,1,2,0,3,2,"-19,95531717","-44,11722196",SPRF-MG,DEL01-MG,UOP03-DEL01-MG
332052.0,2021-01-02,sábado,15:45:00,MG,262.0,418,PARA DE MINAS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,6,0,1,0,0,5,1,2,"-19,89963382","-44,69608755",SPRF-MG,DEL08-MG,UOP03-DEL08-MG
332069.0,2021-01-02,sábado,12:00:00,MG,50.0,"174,8",UBERABA,Acessar a via sem observar a presença dos outros veículos,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,1,"-19,770817","-47,973434",SPRF-MG,DEL13-MG,UOP01-DEL13-MG
332135.0,2021-01-03,domingo,00:20:00,MG,116.0,"38,7",PEDRA AZUL,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,Não,2,1,0,0,1,0,0,2,"-15,95802825","-41,40446956",SPRF-MG,DEL11-MG,UOP02-DEL11-MG
332173.0,2021-01-03,domingo,09:30:00,MG,381.0,"769,2",CAMPANHA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Curva,Não,9,0,3,2,2,2,5,3,"-21,77370307","-45,42761992",SPRF-MG,DEL16-MG,UOP02-DEL16-MG
332194.0,2021-01-03,domingo,10:30:00,MG,381.0,"765,5",CAMPANHA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,3,0,2,0,1,0,2,2,"-21,73485569","-45,38176417",SPRF-MG,DEL16-MG,UOP02-DEL16-MG
332269.0,2021-01-03,domingo,15:34:00,MG,365.0,413,PATOS DE MINAS,Velocidade Incompatível,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,1,0,0,0,1,0,0,1,"-18,6741811","-46,54412894",SPRF-MG,DEL10-MG,UOP01-DEL10-MG
332283.0,2021-01-03,domingo,17:10:00,MG,365.0,550,ESTRELA DO SUL,Ultrapassagem Indevida,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,"-18,92981","-47,670565",SPRF-MG,DEL15-MG,UOP02-DEL15-MG
332295.0,2021-01-03,domingo,16:30:00,MG,381.0,"424,4",CAETE,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-19,78236547","-43,66350085",SPRF-MG,DEL01-MG,UOP01-DEL01-MG
332350.0,2021-01-03,domingo,17:30:00,MG,381.0,"566,6",ITAGUARA,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,5,0,1,0,4,0,1,3,"-20,42649228","-44,54458383",SPRF-MG,DEL04-MG,UOP03-DEL04-MG
332377.0,2021-01-04,segunda-feira,00:30:00,MG,116.0,"96,5",MEDINA,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-16,40244787","-41,47432334",SPRF-MG,DEL11-MG,UOP02-DEL11-MG
332439.0,2021-01-04,segunda-feira,11:00:00,MG,381.0,"777,8",CAMPANHA,Velocidade Incompatível,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,5,0,4,0,1,0,4,2,"-21,82472705","-45,49551193",SPRF-MG,DEL16-MG,UOP02-DEL16-MG
332461.0,2021-01-04,segunda-feira,15:00:00,MG,50.0,"177,1",UBERABA,Carga excessiva e/ou mal acondicionada,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,1,0,1,0,0,0,1,1,"-19,77914852","-47,95047701",SPRF-MG,DEL13-MG,UOP01-DEL13-MG
332505.0,2021-01-04,segunda-feira,18:45:00,MG,381.0,"796,2",SAO GONCALO DO SAPUCAI,Velocidade Incompatível,Tombamento,Sem Vítimas,Anoitecer,Decrescente,Nublado,Múltipla,Reta,Não,1,0,0,0,1,0,0,1,"-21,91852269","-45,59360504",SPRF-MG,DEL16-MG,UOP02-DEL16-MG
332508.0,2021-01-04,segunda-feira,21:30:00,MG,40.0,"820,8",SIMAO PEREIRA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Curva,Não,6,0,2,0,4,0,2,2,"-21,95982293","-43,29917908",SPRF-MG,DEL05-MG,UOP01-DEL05-MG
332532.0,2021-01-05,terça-feira,05:30:00,MG,40.0,569,ITABIRITO,Condutor Dormindo,Colisão lateral sentido oposto,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,5,0,4,0,1,0,4,2,"-20,20394093","-43,97409456",SPRF-MG,DEL01-MG,UOP02-DEL01-MG
332534.0,2021-01-05,terça-feira,05:40:00,MG,116.0,"226,3",CATUJI,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Simples,Curva,Não,2,0,1,0,1,0,1,1,"-17,45272285","-41,4999207",SPRF-MG,DEL11-MG,UOP01-DEL11-MG
332590.0,2021-01-02,sábado,19:20:00,MG,116.0,"738,3",LARANJAL,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Sim,4,0,1,0,3,0,1,2,"-21,36499168","-42,47388147",SPRF-MG,DEL07-MG,UOP01-DEL07-MG
332620.0,2021-01-05,terça-feira,14:30:00,MG,116.0,"701,1",MURIAE,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Não Informado,Sim,6,0,3,0,3,0,3,4,"-21,09739311","-42,37529755",SPRF-MG,DEL07-MG,UOP02-DEL07-MG
